排名,电影名,评分,评论数,上映时间
274,天生杀人狂,7.9,121730,1994-08-26
275,惊天魔盗团,7.8,598193,2013-10-10
276,南国再见，南国,8.1,24972,1996-05-13
277,旺角卡门,7.8,244457,1988-06-09
278,套装,7.9,106624,2022-02-14
279,亡命天涯,8.1,43799,1994-11-12
280,边境杀手,7.8,177706,2015-05-19
281,恶人传,7.8,297833,2019-05-15
282,M就是凶手,8.2,32803,1931-05-11
283,突袭,7.9,93671,2011-09-08
284,疾速追杀,7.8,243177,2014-10-24
285,的士速递,7.9,91545,1998-04-08
286,寻枪,7.8,132042,2002-05-09
287,独行杀手,8.2,31902,1967-10-25
288,古畑任三郎完结篇 重生之死,9.0,11687,2006-01-03
289,极限职业,7.8,215537,2019-01-23
290,红番区,7.8,114966,1995-01-29
291,奇谋妙计五福星,7.9,47360,1983-07-07
292,纸月亮,8.5,19074,1973-05-09
293,监狱风云2：逃犯,7.9,46521,1991-06-22
294,小人物,7.8,187598,2021-03-26
295,黑金,7.8,104197,1997-12-23
296,神秘河,7.9,82549,2003-05-23
297,速度与激情4,7.8,187091,2009-04-15
298,白日之下,7.8,102889,2024-04-12
299,与犯罪的战争：坏家伙的全盛时代,7.9,81323,2012-02-02
300,决战犹马镇,8.0,51250,2007-09-07
301,大象,7.9,78263,2003-05-18
302,辣手神探,7.9,43058,1992-04-16
303,缺席的人,8.2,29917,2001-10-26
304,扒手,8.3,24791,1959-12-16
305,恶魔,8.4,20974,1955-01-29
306,伸冤人,7.8,132802,2014-09-26
307,怒火青春,8.3,23833,1995-05-31
308,警察故事续集,7.8,70998,1988-08-20
309,解救吾先生,7.7,439359,2015-09-30
310,艋舺,7.7,297606,2010-02-05
311,偷天陷阱,7.8,110064,1999-04-30
312,美国黑帮,7.9,60320,2007-11-02
313,天上再见,8.0,42377,2019-04-30
314,大侦探福尔摩斯,7.7,326239,2010-02-25
315,三个老枪手,7.8,99351,2017-04-07
316,双瞳,7.7,168770,2002-10-25
317,小鬼当家3,7.8,97562,1997-12-12
318,男孩A,8.2,26321,2007-09-08
319,杀破狼,7.7,158761,2005-11-18
320,猎凶风河谷,7.8,95979,2017-01-21
321,新宿事件,7.7,157780,2009-04-02
322,的士速递2,7.9,57601,2000-03-25
323,X圣治,8.2,25765,1997-11-06
324,省港旗兵,8.0,22233,1984-07-11
325,大侦探福尔摩斯2：诡影游戏,7.7,235839,2012-01-15
326,野良犬,8.4,18903,1949-10-17
327,岁月风云之上海皇帝,8.0,21963,1993-01-22
328,杀人者的记忆法,7.8,84388,2017-09-06
329,王者,7.8,78384,2017-01-18
330,无声言证,8.0,37340,1995-09-15
331,复仇在我,8.5,15996,1979-04-21
332,蝙蝠侠：红影迷踪,8.5,15977,2010-07-27
333,老手,7.7,145019,2015-08-05
334,林肯律师,7.9,47463,2012-08-15
335,敲开天堂的门,8.4,17754,1997-02-20
336,犯罪都市,7.7,128898,2017-10-03
337,三大队,7.6,520672,2023-12-15
338,白头神探,7.9,44791,1988-12-02
339,白日焰火,7.6,434164,2014-03-21
340,逃狱三王,7.8,64890,2000-12-22
341,凡尔杜先生,8.7,12688,1947-04-11
342,寒战,7.6,400238,2012-11-08
343,江湖儿女,7.6,317772,2018-09-21
344,扫毒,7.6,294211,2013-11-29
345,捕蝇纸,7.8,62008,2011-01-28
346,窃听风云2,7.6,256694,2011-08-18
347,绝密跟踪,7.7,107855,2014-09-16
348,毒战,7.6,249935,2013-04-02
349,冲锋队之怒火街头,7.9,23494,1996-06-25
350,新上海滩,7.7,58344,1996-07-13
351,死亡笔记,7.7,101798,2006-06-17
352,分手的决心,7.6,337112,2022-05-23
353,21克,7.8,55852,2003-09-05
354,警察故事4：简单任务,7.7,50476,1996-02-10
355,虎胆龙威2,7.8,54240,1990-07-04
356,海扁王,7.6,232158,2010-03-12
357,七个神经病,7.7,85156,2012-10-12
358,局内人,7.7,83380,2006-03-16
359,钱,8.3,18147,1983-05-16
360,亲切的金子,7.6,194388,2005-07-29
361,赤焰战场,7.6,107646,2011-04-01
362,虎胆龙威4,7.7,80937,2007-11-22
363,机器战警,7.8,49619,1987-07-17
364,尽情游戏,7.9,35773,2009-10-28
365,冰冷热带鱼,7.7,73534,2010-09-07
366,上帝保佑美国,7.8,47387,2011-09-09
367,血迷宫,7.8,47249,1984-09-07
368,真心英雄,7.8,26005,1998-09-30
369,福尔摩斯先生,7.8,46741,2015-02-08
370,偷天换日,7.6,138965,2003-05-30
371,风雨同路,7.8,25514,1990-05-12
372,极恶非道2,7.8,45808,2012-10-06
373,前程似锦的女孩,7.7,68212,2020-01-25
374,谋杀绿脚趾,7.7,67801,1998-01-18
375,误杀,7.5,961747,2019-12-13
376,坏血,8.1,22513,1986-11-26
377,千钧。一发,8.1,12450,2008-06-12
378,黑道快餐店,8.4,15048,2007-08-03
379,神秘列车,8.1,22327,1989-09-06
380,一路顺风,7.7,34578,2016-09-09
381,猎头游戏,7.7,61164,2011-08-04
382,三十九级台阶,7.8,41984,1935-08-01
383,天水围的夜与雾,7.6,59424,2009-03-22
384,踏血寻梅,7.5,222565,2015-04-06
385,上海皇帝之雄霸天下,7.9,17574,1993-05-13
386,江湖告急,7.6,56028,2000-09-21
387,会计刺客,7.6,99575,2016-10-14
388,杀破狼2,7.5,199783,2015-06-18
389,警戒结束,7.9,31200,2012-09-21
390,亚人1：冲动,8.6,12021,2015-11-27
391,啤酒谋杀案,8.5,13171,2003-12-14
392,浮城谜事,7.5,177665,2012-10-19
393,八面埋伏,7.6,90898,2004-03-19
394,导火线,7.5,139064,2007-08-03
395,拳霸,7.9,30024,2003-01-21
396,水果硬糖,7.5,227979,2006-04-28
397,白头神探2½：恐怖的气味,8.0,24296,1991-06-28
398,十二宫,7.5,218628,2007-03-02
399,少年黄飞鸿之铁马骝,7.7,28024,1993-09-03
400,杀人短片,8.2,17644,1988-03-11
401,怪宴,8.1,20203,1976-06-23
402,东京审判,7.5,95998,2006-09-01
403,毁灭之路,7.7,48202,2002-07-12
404,速度与激情2,7.5,166225,2003-06-03
405,女魔头,7.8,35302,2003-12-17
406,污垢,7.8,35280,2013-10-04
407,正义回廊,7.5,89496,2022-08-30
408,两个只能活一个,7.7,26334,1997-05-10
409,女间谍,7.5,157516,2015-05-21
