排名,电影名,评分,评论数,上映时间
909,双重赔偿,8.5,43602,1944-07-03
910,奇迹,8.1,46670,1989-06-15
911,活埋,7.9,157127,2010-10-01
912,怒火救援,8.1,83976,2004-04-23
913,致允熙,8.4,49149,2019-10-12
914,奇幻森林,7.8,268023,2016-04-15
915,孩子王,8.2,37370,1987
916,东京塔,8.6,38429,2007-04-14
917,恐袭波士顿,8.0,106416,2017-11-17
918,天使之城,7.9,150995,1998-04-10
919,鬼灭之刃 那田蜘蛛山篇,9.2,23397,2020-10-17
920,绣春刀,7.7,482852,2014-08-07
921,保你平安,7.7,480288,2023-03-10
922,爱情短片,8.8,31449,1988-10-21
923,处子之山,8.5,42615,2015-02-09
924,一个都不能少,7.8,138236,1999-09-07
925,鲁冰花,8.8,17402,1989-08-26
926,解救吾先生,7.7,426148,2015-09-30
927,与神同行：罪与罚,7.8,243521,2017-12-20
928,唐顿庄园,8.0,103241,2019-12-13
929,罗曼蒂克消亡史,7.7,413320,2016-12-16
930,智取威虎山,7.7,404460,2014-12-23
931,欢迎来到东莫村,8.2,65241,2005-08-04
932,沙丘,7.7,713394,2021-10-22
933,朝圣之路,8.4,47718,2010-11-19
934,午夜巴塞罗那,7.8,235067,2008-05-17
935,狙击手,7.7,375244,2022-02-01
936,骡子,7.9,140597,2019-08-26
937,过春天,7.7,355450,2019-03-15
938,神奇动物在哪里,7.7,638242,2016-11-25
939,芬妮的旅程,8.5,41810,2016-05-18
940,借着雨点说爱你,8.5,41809,2004-10-30
941,迷失东京,7.8,228398,2003-08-29
942,冰血暴,8.0,100255,1996-03-08
943,裁缝,7.9,138817,2015-10-29
944,红磨坊,7.9,138279,2001-05-09
945,英雄,7.7,334009,2002-12-19
