温泉花园B区,北七家,2室1厅 | 80.07平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2250000.0,28101.0
东风家园,朝阳公园,2室1厅 | 77.57平米 | 南 北 | 精装 | 中楼层(共18层) | 2000年 | 板塔结合,3990000.0,51438.0
三里屯SOHO,三里屯,2室1厅 | 148.6平米 | 东 | 精装 | 中楼层(共28层)  | 塔楼,9980000.0,67161.0
天时名苑,通州北苑,2室2厅 | 102.59平米 | 西南 | 简装 | 28层  | 板塔结合,4250000.0,41428.0
银地家园,花乡,1室0厅 | 38.68平米 | 北 | 简装 | 中楼层(共13层)  | 板塔结合,1430000.0,36971.0
世涛天朗,东关,3室2厅 | 167.56平米 | 南 北 | 精装 | 高楼层(共10层)  | 板楼,7680000.0,45835.0
铁路巷,车公庄,1室1厅 | 41.3平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,4200000.0,101695.0
南苑北里一区,和义,1室1厅 | 53.26平米 | 南 北 | 毛坯 | 底层(共6层)  | 板楼,1750000.0,32858.0
惠泽家园,门头沟其它,1室1厅 | 55.56平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1450000.0,26098.0
芳源里,旧宫,3室1厅 | 91.23平米 | 南 北 | 精装 | 顶层(共9层)  | 板楼,4050000.0,44394.0
团结大院,车公庄,2室1厅 | 61.3平米 | 南 北 | 精装 | 中楼层(共6层) | 1985年 | 板楼,6150000.0,100327.0
万年花城五期,玉泉营,2室2厅 | 90.43平米 | 南 北 | 精装 | 低楼层(共21层)  | 板楼,7200000.0,79620.0
矿机社区,城关,2室1厅 | 57.83平米 | 东 西 | 精装 | 高楼层(共6层)  | 板楼,630000.0,10894.0
金隅丽港城,望京,2室1厅 | 117.6平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,9300000.0,79082.0
武圣东里,劲松,2室2厅 | 81.07平米 | 南 北 | 简装 | 17层  | 塔楼,3560000.0,43913.0
观音惠园,百子湾,2室1厅 | 90.11平米 | 南 北 | 精装 | 顶层(共6层)  | 板楼,2800000.0,31074.0
方恒东景,临河里,2室1厅 | 84.55平米 | 南 | 精装 | 高楼层(共29层)  | 板塔结合,3030000.0,35837.0
紫贵御园,平谷其它,3室2厅 | 105.79平米 | 南 北 | 精装 | 19层  | 板塔结合,1950000.0,18433.0
梅园小区,亦庄,2室1厅 | 93.76平米 | 南 西 北 | 简装 | 中楼层(共6层)  | 板楼,3680000.0,39250.0
万柳园小区,玉泉营,1室1厅 | 42.19平米 | 南 北 | 简装 | 中楼层(共6层) | 1993年 | 板楼,2080000.0,49301.0
东恒时代三期,四惠,2室2厅 | 114.05平米 | 南 北 | 精装 | 12层  | 板楼,6700000.0,58747.0
西关路,西关环岛,3室2厅 | 93.04平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2580000.0,27731.0
滨河西里北区,枣园,2室1厅 | 73.63平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,2350000.0,31917.0
桃花岛,梨园,3室2厅 | 130.57平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,4490000.0,34388.0
书香亭,华威桥,2室1厅 | 71.36平米 | 西北 | 精装 | 21层  | 塔楼,3350000.0,46946.0
太平家园,天通苑,2室2厅 | 91.69平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3360000.0,36646.0
裕龙四区,顺义城,2室1厅 | 71.52平米 | 南 北 | 简装 | 6层  | 板楼,2150000.0,30062.0
方恒东景,临河里,2室1厅 | 84.55平米 | 南 | 精装 | 高楼层(共29层)  | 板塔结合,3030000.0,35837.0
银地家园,花乡,1室0厅 | 38.68平米 | 北 | 简装 | 中楼层(共13层)  | 板塔结合,1430000.0,36971.0
黄庄小区,中关村,2室1厅 | 57.4平米 | 南 北 | 简装 | 顶层(共6层)  | 板楼,6200000.0,108014.0
团结大院,车公庄,2室1厅 | 61.3平米 | 南 北 | 精装 | 中楼层(共6层) | 1985年 | 板楼,6150000.0,100327.0
芳源里,旧宫,3室1厅 | 91.23平米 | 南 北 | 精装 | 顶层(共9层)  | 板楼,4050000.0,44394.0
工体东路,东大桥,2室1厅 | 47.89平米 | 南 | 简装 | 底层(共5层)  | 板楼,3350000.0,69952.0
天时名苑,通州北苑,2室2厅 | 102.59平米 | 西南 | 简装 | 28层  | 板塔结合,4250000.0,41428.0
惠泽家园,门头沟其它,1室1厅 | 55.56平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1450000.0,26098.0
南苑北里一区,和义,1室1厅 | 53.26平米 | 南 北 | 毛坯 | 底层(共6层)  | 板楼,1750000.0,32858.0
万年花城五期,玉泉营,2室2厅 | 90.43平米 | 南 北 | 精装 | 低楼层(共21层)  | 板楼,7200000.0,79620.0
世涛天朗,东关,3室2厅 | 167.56平米 | 南 北 | 精装 | 高楼层(共10层)  | 板楼,7680000.0,45835.0
翠成馨园E区,垡头,3室2厅 | 113.15平米 | 东南 | 精装 | 22层  | 塔楼,4460000.0,39417.0
铁路巷,车公庄,1室1厅 | 41.3平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,4200000.0,101695.0
东潞苑,潞苑,2室2厅 | 88.37平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2880000.0,32591.0
北苑家园望春园,北苑,3室2厅 | 135.99平米 | 东南 | 简装 | 23层  | 板塔结合,8150000.0,59931.0
太平里,马连道,2室1厅 | 59.98平米 | 西北 | 简装 | 高楼层(共7层)  | 板楼,3800000.0,63355.0
温泉花园B区,北七家,2室1厅 | 80.07平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2250000.0,28101.0
